NORAD_CAT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE
5,2019-11-26 12:08:00,5.72777584,0.4870091,51.6928,56.6845,198.4516,134.8584,13195.053,251.406,13243.03,390.807
68,2019-11-21 22:04:00,15.019143,0.0,97.62299999999999,188.947,0.0,14.252,6939.130783,95.87799999999999,560.993783,560.993783
68,2019-11-22 05:39:00,15.019143,0.0,97.62200000000001,189.25799999999998,0.0,280.502,6939.130783,95.87799999999999,560.993783,560.993783
68,2019-11-22 14:26:00,15.019143,0.0,97.62100000000001,189.61900000000003,0.0,96.75200000000001,6939.130783,95.87799999999999,560.993783,560.993783
68,2019-11-22 20:22:00,15.019143,0.0,97.62100000000001,189.862,0.0,351.75199999999995,6939.130783,95.87799999999999,560.993783,560.993783
68,2019-11-23 06:36:00,15.019143,0.0,97.62,190.283,0.0,134.252,6939.130783,95.87799999999999,560.993783,560.993783
68,2019-11-23 15:27:00,15.019143,0.0,97.62,190.646,0.0,325.502,6939.130783,95.87799999999999,560.993783,560.993783
68,2019-11-23 21:02:00,15.019143,0.0,97.619,190.875,0.0,141.752,6939.130783,95.87799999999999,560.993783,560.993783
68,2019-11-24 04:23:00,15.019143,0.0,97.619,191.17700000000002,0.0,355.50199999999995,6939.130783,95.87799999999999,560.993783,560.993783
68,2019-11-24 13:34:00,15.019143,0.0,97.618,191.554,0.0,261.751,6939.130783,95.87799999999999,560.993783,560.993783
68,2019-11-24 23:21:00,15.019143,0.0,97.617,191.956,0.0,303.001,6939.130783,95.87799999999999,560.993783,560.993783
68,2019-11-25 07:27:00,15.019143,0.0,97.617,192.28900000000002,0.0,325.501,6939.130783,95.87799999999999,560.993783,560.993783
68,2019-11-25 11:49:00,15.019143,0.0,97.616,192.468,0.0,228.00099999999998,6939.130783,95.87799999999999,560.993783,560.993783
68,2019-11-25 22:38:00,15.019143,0.0,97.615,192.912,0.0,141.751,6939.130783,95.87799999999999,560.993783,560.993783
68,2019-11-26 03:42:00,15.019143,0.0,97.615,193.12,0.0,201.75099999999998,6939.130783,95.87799999999999,560.993783,560.993783
68,2019-11-26 12:30:00,15.019143,0.0,97.61399999999999,193.481,0.0,21.750999999999998,6939.130783,95.87799999999999,560.993783,560.993783
68,2019-11-26 20:48:00,15.019143,0.0,97.61399999999999,193.822,0.0,89.251,6939.130783,95.87799999999999,560.993783,560.993783
68,2019-11-27 07:19:00,15.019143,0.0,97.613,194.25400000000002,0.0,295.5,6939.130783,95.87799999999999,560.993783,560.993783
68,2019-11-27 15:02:00,15.019143,0.0,97.61200000000001,194.571,0.0,231.75,6939.130783,95.87799999999999,560.993783,560.993783
68,2019-11-27 20:20:00,15.019143,0.0,97.61200000000001,194.78900000000002,0.0,344.25,6939.130783,95.87799999999999,560.993783,560.993783
68,2019-11-28 06:06:00,15.019143,0.0,97.611,195.19,0.0,21.75,6939.130783,95.87799999999999,560.993783,560.993783
68,2019-11-28 12:26:00,15.019143,0.0,97.611,195.45,0.0,6.75,6939.130783,95.87799999999999,560.993783,560.993783
68,2019-11-28 21:20:00,15.019143,0.0,97.61,195.815,0.0,209.25,6939.130783,95.87799999999999,560.993783,560.993783
69,2019-11-25 21:50:00,14.29056115,0.00779,74.0926,46.7158,353.3838,6.6275,7173.024,100.765,850.767,739.011
79,2019-11-22 21:32:00,14.65701635,0.0036679,98.1933,115.1702,165.4763,194.7503,7052.96,98.246,700.695,648.956
113,2019-11-25 23:46:00,4.70427038,0.5489826,64.4161,19.2493,28.873,352.8498,15045.512,306.104,16927.102,407.653
148,2019-11-24 13:58:00,14.89918627,0.0043285,74.0142,294.0427,341.0707,18.8863,6976.326,96.649,628.388,567.994
148,2019-11-25 14:09:00,14.89922692,0.0042734,74.0114,292.026,338.1846,21.7514,6976.313,96.649,627.991,568.366
